customer_id,name,age,status,date_of_death
1,Customer_1,63.0,Active,
2,Customer_2,76.0,Active,
3,Customer_3,53.0,Deceased,2025-10-08
4,Customer_4,39.0,Active,
5,Customer_5,67.0,Active,
6,Customer_6,32.0,Active,
7,Customer_7,45.0,Active,
8,Customer_8,63.0,Active,
9,Customer_9,82.0,Active,
10,Customer_10,43.0,Deceased,2021-07-08
11,Customer_11,47.0,Active,
12,Customer_12,35.0,Active,
13,Customer_13,35.0,Active,
14,Customer_14,48.0,Deceased,
15,Customer_15,77.0,Active,
16,Customer_16,60.0,Active,
17,Customer_17,64.0,Active,
18,Customer_18,48.0,Active,
19,Customer_19,27.0,Active,
20,Customer_20,46.0,Active,
21,Customer_21,77.0,Active,
22,Customer_22,26.0,Active,
23,Customer_23,48.0,Active,
24,Customer_24,68.0,Active,
25,Customer_25,54.0,Active,
26,Customer_26,62.0,Active,
27,Customer_27,26.0,Active,
28,Customer_28,84.0,Active,
29,Customer_29,45.0,Active,
30,Customer_30,57.0,Active,
31,Customer_31,36.0,Active,
32,Customer_32,82.0,Active,
33,Customer_33,46.0,Active,
34,Customer_34,68.0,Active,
35,Customer_35,49.0,Active,
36,Customer_36,73.0,Deceased,2023-09-29
37,Customer_37,51.0,Active,
38,Customer_38,83.0,Deceased,2023-01-21
39,Customer_39,66.0,Active,
40,Customer_40,52.0,Active,
41,Customer_41,,Active,
42,Customer_42,40.0,Active,
43,Customer_43,39.0,Active,
44,Customer_44,71.0,Active,
45,Customer_45,75.0,Active,
46,Customer_46,68.0,Active,
47,Customer_47,79.0,Active,
48,Customer_48,76.0,Active,
49,Customer_49,81.0,Active,
50,Customer_50,27.0,Active,
51,Customer_51,61.0,Active,
52,Customer_52,75.0,Active,
53,Customer_53,31.0,Deceased,2024-11-12
54,Customer_54,45.0,Active,
55,Customer_55,33.0,Active,
56,Customer_56,,Active,
57,Customer_57,,Active,
58,Customer_58,28.0,Active,
59,Customer_59,49.0,Active,
60,Customer_60,84.0,Deceased,2024-12-05
61,Customer_61,38.0,Active,
62,Customer_62,74.0,Active,
63,Customer_63,82.0,Active,
64,Customer_64,33.0,Active,
65,Customer_65,50.0,Active,
66,Customer_66,77.0,Active,
